시간,규모,진앙(km),위도,경도,위치
2016-12-29 21:32:25,2.3,9,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
2016-12-30 15:04:41,2.5,10,38.64,125.76,북한 황해북도 사리원시 북쪽 15km 지역
2016-12-31 08:01:03,2.6,0,39.31,126.27,북한 평안남도 성천군 북북동쪽 9km 지역
2017-01-04 05:00:47,2.5,18,36.58,129.24,경북 영덕군 북북서쪽 22km 지역
2017-01-06 05:31:13,3.3,12,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2017-01-06 05:33:23,2.2,12,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2017-01-07 06:37:41,2.4,1,38.69,125.73,북한 황해북도 송림 동남동쪽 10km 지역
2017-01-11 00:10:05,2.1,20,36.44,128.42,경북 의성군 서북서쪽 27km 지역
2017-01-14 11:52:55,2.2,10,35.17,127.79,경남 하동군 북북동쪽 12km 지역
2017-01-16 06:57:31,2.7,21,33.64,127.51,전남 여수시 거문도 남남동쪽 47km 해역
2017-01-16 19:54:13,2.1,20,36.33,126.59,충남 보령시 서쪽 2km 지역
2017-01-17 16:06:56,2.8,6,38.71,125.86,북한 황해북도 송림 동쪽 20km 지역
2017-01-18 12:49:53,2.5,4,35.02,125.06,전남 신안군 흑산면 북서쪽 56km 해역
2017-01-21 03:27:38,2.6,15,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2017-01-24 04:07:56,2.6,16,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2017-01-26 22:53:38,2.0,0,33.54,126.87,제주 제주시 동쪽 32km 해역
2017-01-29 13:45:53,2.6,8,38.70,127.16,북한 강원 평강 북북서쪽 34km 지역
2017-02-05 19:07:29,2.5,21,33.61,126.73,제주 제주시 동북동쪽 22km 해역
2017-02-05 20:06:15,2.6,3,39.61,127.64,북한 함경남도 함흥 남남동쪽 34km 해역
2017-02-10 05:22:41,2.2,20,35.65,129.57,울산 북구 동북동쪽 20km 해역
2017-02-10 18:01:35,2.6,0,38.54,125.84,북한 황해북도 사리원 동북동쪽 8km 지역
2017-02-12 09:22:27,2.3,22,35.69,129.58,울산 북구 동북동쪽 23km 해역
2017-02-16 02:34:56,2.9,15,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2017-02-16 18:20:19,2.3,17,35.64,128.09,경남 합천군 북서쪽 11km 지역
2017-02-18 16:53:49,2.0,15,33.23,126.18,제주 서귀포시 서쪽 35km 해역
2017-02-18 20:58:19,2.4,17,35.23,126.94,광주 북구 북북동쪽 7km 지역
2017-02-21 03:21:11,2.1,14,35.76,129.20,경북 경주시 남쪽 9km 지역
2017-02-22 13:08:50,2.1,14,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2017-02-23 21:03:51,3.1,7,37.40,124.89,인천 백령도 남남동쪽 64km 해역
2017-02-24 11:34:44,2.3,14,36.38,127.79,충북 옥천군 동북동쪽 21km 지역
2017-02-24 12:29:38,2.5,8,38.89,126.09,북한 평양 동남동쪽 33km 지역
2017-02-25 06:58:44,2.2,19,35.74,129.17,경북 경주시 남남서쪽 12km 지역
2017-02-25 06:59:07,2.4,15,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2017-03-04 06:33:12,2.3,7,35.99,127.95,경북 김천시 남서쪽 22km 지역
2017-03-05 07:52:04,2.4,17,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2017-03-05 09:18:27,3.2,13,37.75,129.66,강원 동해시 동북동쪽 54km 해역
2017-03-05 09:28:49,2.4,8,37.74,129.69,강원 동해시 동북동쪽 56km 해역
2017-03-05 15:09:40,2.1,9,37.72,129.59,강원 동해시 동북동쪽 47km 해역
2017-03-05 19:19:07,2.1,7,37.77,129.70,강원 동해시 동북동쪽 58km 해역
2017-03-06 06:21:33,2.0,1,35.75,126.10,전북 부안군 위도 북서쪽 24km 해역
2017-03-07 03:48:07,2.2,20,36.30,128.23,경북 구미시 북북서쪽 23km 지역
